date and time now = 24/02/2021 15:03:08
Ticker      24H Total    Prev    Recent    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
SANP              260     204        56      -148          0                 0                      0         0            0                    0            260                       0              0             0     0.029         59.341         928.577       241.306  N/A             Software—Infrastructure                 N/A
PLAY              257     186        71      -115          1               118                     84         0            0                    0              0                      55              0             0    41.580          5.159          19.176       -47.643  38935925        Restaurants                             0.21540001
ZOM               236     124       112       -12          0                57                      0         0            0                    0             45                     127              7             0     2.070          9.524          50.006       -69.821  526530736       Drug Manufacturers—Specialty & Generic  0.0777
AAA               235       0       235       235          0               235                      0         0            0                    0              0                       0              0             0    25.069         -0.006          -0.213        14.398  N/A             N/A                                     N/A
SYPR              233      79       154        75          0                 0                     61         0            0                    0              8                      80              8            76     5.149         93.568         111.658     29195.276  9622428         Auto Parts                              0.0018000001
CORP              228       5       223       218          0                 0                      0         0            5                    0            223                       0              0             0   113.345         -0.049          -1.789       -52.675  N/A             N/A                                     N/A
WHEN              228     228         0      -228          4               204                     24         0            0                    0              0                       0              0             0     0.003          0.000          41.886       -57.799  N/A             Software—Application                    N/A
SNGX              225       0       225       225          0                 0                      0         0            0                    0            217                       8              0             0     1.825          5.503          10.441       -30.479  29749986        Biotechnology                           0.0382
MARA              224      79       145        66          0                 0                     42         0            0                    0              4                      97             19            62    33.830         18.452          29.686       -44.006  45938263        Capital Markets                         0.112799995
EIC               223       0       223       223          0                 0                      0         0            0                    0            223                       0              0             0    15.500          0.649           2.515       -27.077  N/A                                                     N/A
TIPS              223     223         0      -223          0               223                      0         0            0                    0              0                       0              0             0     0.009         80.000          68.409       -98.622  84673282        Internet Retail                         N/A
PRO               223     223         0      -223          0               223                      0         0            0                    0              0                       0              0             0    49.370          2.088           8.126       -43.963  37377166        Software—Application                    0.1322
CBD               219      90       129        39          0                47                      0        10           49                    0            101                       0             12             0    16.470          0.122          10.896       -52.018  156783223       Department Stores                       N/A
CCL               214       0       214       214          0               162                      0        52            0                    0              0                       0              0             0    27.505          3.949          32.144        77.404  989848269       Travel Services                         0.103
TFSA              213     205         8      -197          0               205                      0         8            0                    0              0                       0              0             0    25.050          0.764           0.857       -33.916  N/A             N/A                                     N/A
GSAT              211      63       148        85          0               162                      0         0            0                    0              0                      49              0             0     1.920         14.970          50.832        49.817  513282133       Telecom Services                        0.0596
SOS               209      99       110        11          0                 2                     48         7            0                    0              4                      77              9            62     7.700          0.390          85.671        78.797  N/A             Software—Infrastructure                 N/A
STAY              208     128        80       -48          0                 0                    169         0            0                    0              0                      39              0             0    16.300          2.258           8.647       -35.866  158954056       Lodging                                 0.0114
IBKR              205     205         0      -205          0               205                      0         0            0                    0              0                       0              0             0    74.640          2.980           8.013       -51.655  75195383        Capital Markets                         0.0297
COST              205     205         0      -205          0               205                      0         0            0                    0              0                       0              0             0   340.415         -0.507          -5.469        -7.393  441675088       Discount Stores                         0.0082
COMM              205     205         0      -205          0               205                      0         0            0                    0              0                       0              0             0    14.540          5.362          -0.966       -25.210  180795590       Communication Equipment                 0.0308
EOD               202       0       202       202          1                 0                    168         0            0                    0              0                      34              0             0     5.325         -0.281           5.519        -5.951  N/A             Asset Management                        N/A
SHOP              201       0       201       201          0               201                      0         0            0                    0              0                       0              0             0  1304.840          0.354           4.582       -33.925  110779681       Software—Application                    0.0177

date and time now = 24/02/2021 15:18:29
Ticker      24H Total    Prev    Recent    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
--------  -----------  ------  --------  --------  ---------  ----------------  ---------------------  --------  -----------  -------------------  -------------  ----------------------  -------------  ------------  --------  -------------  --------------  ------------  --------------  --------------------------------------  --------------
GME            184501  113616     70885    -42731        183            175844                   6894      1095            0                   -1              0                     631             38             0    61.770         37.358         -16.834       -40.177  45045377        Specialty Retail                        0.7846
AMC             84140   43809     40331     -3478        865             23294                  57427      1062            2                    0              0                     202           2152             1     8.000          3.890          45.671        35.911  136293432       Entertainment                           0.157
TWO             39025   38969        56    -38913          7             38969                     56         0            0                    0              0                       0              0             0     7.350          4.701          14.376        -9.611  271391084       REIT—Mortgage                           0.024
